"customer_id,age,income,join_date,last_purchase,city,country,credit_score,is_active"
"101,34,75000,2022-03-15,2024-01-31,New York,USA,780,Yes"
"102,28,52000,2023-01-20,2024-01-29,London,UK,690,Yes"
"103,45,89000,2021-11-05,2024-01-27,Tokyo,Japan,820,Yes"
"104,31,61000,2022-08-12,2024-01-24,Paris,France,710,Yes"
"105,52,48000,2020-05-30,2024-01-19,London,UK,650,Yes"
"106,26,43000,2023-06-18,2024-01-21,Sydney,Australia,600,Yes"
"107,39,95000,2021-12-25,2024-01-22,Tokyo,Japan,790,Yes"
"108,29,58000,2022-09-14,2024-01-24,Paris,France,680,Yes"
"109,41,72000,2022-02-28,2024-01-25,New York,USA,750,Yes"
"110,35,67000,2021-07-11,2024-01-26,Sydney,Australia,730,Yes"
"111,47,54000,2020-11-09,2024-01-28,London,UK,670,Yes"
"112,33,49000,2023-03-22,2024-01-29,Paris,France,640,Yes"
"113,24,38000,2023-08-07,2024-01-30,New York,USA,590,Yes"
"114,58,82000,2019-04-16,2024-02-01,Sydney,Australia,770,Yes"
"115,30,56000,2022-10-03,2024-02-02,London,UK,660,Yes"
"116,42,71000,2021-05-19,2024-02-03,Paris,France,740,Yes"
"117,27,45000,2023-02-14,2024-02-04,New York,USA,610,Yes"
"118,36,78000,2022-01-08,2024-02-05,Tokyo,Japan,760,Yes"
"119,49,63000,2020-09-27,2024-02-06,Sydney,Australia,700,Yes"
"120,31,59000,2022-07-01,2024-02-07,London,UK,675,Yes"
"121,44,68000,2021-03-24,2024-02-08,Paris,France,720,Yes"
"122,29,53000,2023-04-11,2024-02-09,New York,USA,655,Yes"
"123,51,87000,2020-12-30,2024-02-10,Tokyo,Japan,800,Yes"
"124,38,62000,2022-05-17,2024-02-11,Sydney,Australia,690,Yes"
"125,33,57000,2022-11-23,2024-02-12,London,UK,665,Yes"
"126,46,79000,2021-08-06,2024-02-13,Paris,France,755,Yes"
